ImageNumber,ObjectNumber,FileName_Spindle,PathName_Spindle,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_MajorAxisLength,AreaShape_MinorAxisLength,AreaShape_Orientation,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,1,AurA_June7_A_5_frontface_z155c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,288,837.6076388888889,1922.3819444444443,57.96665609834573,7.188924195229701,22.109825953529445,837.6076388888889,1922.3819444444443,0,1
1,2,AurA_June7_A_5_frontface_z155c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,267,518.6591760299625,2068.2846441947568,59.00842907099577,6.195639301882873,4.523352858032466,518.6591760299625,2068.2846441947568,0,2
1,3,AurA_June7_A_5_frontface_z155c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,301,1057.5647840531562,2150.8571428571427,67.92551981074611,5.995777293561695,87.15236307594603,1057.5647840531562,2150.8571428571427,0,3
1,4,AurA_June7_A_5_frontface_z155c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,286,673.3531468531469,2168.374125874126,54.91116845929105,7.2089674685541345,46.244540052768926,673.3531468531469,2168.374125874126,0,4
1,5,AurA_June7_A_5_frontface_z155c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,242,753.5537190082645,2211.9338842975208,47.875284950449256,7.142445823727568,-29.96938202578576,753.5537190082645,2211.9338842975208,0,5
1,6,AurA_June7_A_5_frontface_z155c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,321,972.582554517134,2237.797507788162,65.08347505483081,6.996161428861513,35.46678275733181,972.582554517134,2237.797507788162,0,6
1,7,AurA_June7_A_5_frontface_z155c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,368,914.070652173913,2282.320652173913,81.18955591854153,6.186290281241278,-47.33692130451754,914.070652173913,2282.320652173913,0,7
1,8,AurA_June7_A_5_frontface_z155c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,375,650.728,2281.664,84.13576654791778,7.1670570943925,89.66126450127476,650.728,2281.664,0,8
1,9,AurA_June7_A_5_frontface_z155c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,426,653.4483568075117,2367.6854460093896,91.09801314950319,7.095288711811912,-38.9965779495565,653.4483568075117,2367.6854460093896,0,9
2,1,AurA_June7_A_5_frontface_z160c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,396,554.0,1960.5,91.46595105294757,5.628211765451588,0.0,554.0,1960.5,0,1
